Mod:Item:MetaData, Localized Name
chisel:glassdyedcyan:5, Бирюзовое стекло
chisel:glasspanedyedcyan:0, Cyan Stained Glass Pane
chisel:glasspanedyedcyan:1, Cyan Stained Glass Pane
chisel:glasspanedyedcyan:2, Cyan Stained Glass Pane
chisel:glasspanedyedcyan:3, Cyan Stained Glass Pane
chisel:glasspanedyedcyan:4, Cyan Stained Glass Pane
chisel:glasspanedyedcyan:5, Cyan Stained Glass Pane
chisel:glassdyedlightgray:0, Светло-серое стекло
chisel:glassdyedlightgray:1, Светло-серое стекло
chisel:glassdyedlightgray:2, Светло-серое стекло
chisel:glassdyedlightgray:3, Светло-серое стекло
chisel:glassdyedlightgray:4, Светло-серое стекло
chisel:glassdyedlightgray:5, Светло-серое стекло
chisel:glasspanedyedlightgray:0, Light Gray Stained Glass Pane
chisel:glasspanedyedlightgray:1, Light Gray Stained Glass Pane
chisel:glasspanedyedlightgray:2, Light Gray Stained Glass Pane
chisel:glasspanedyedlightgray:3, Light Gray Stained Glass Pane
chisel:glasspanedyedlightgray:4, Light Gray Stained Glass Pane
chisel:glasspanedyedlightgray:5, Light Gray Stained Glass Pane
chisel:glassdyedgray:0, Серое стекло
chisel:glassdyedgray:1, Серое стекло
chisel:glassdyedgray:2, Серое стекло
chisel:glassdyedgray:3, Серое стекло
chisel:glassdyedgray:4, Серое стекло
chisel:glassdyedgray:5, Серое стекло
chisel:glasspanedyedgray:0, Gray Stained Glass Pane
chisel:glasspanedyedgray:1, Gray Stained Glass Pane
chisel:glasspanedyedgray:2, Gray Stained Glass Pane
chisel:glasspanedyedgray:3, Gray Stained Glass Pane
chisel:glasspanedyedgray:4, Gray Stained Glass Pane
chisel:glasspanedyedgray:5, Gray Stained Glass Pane
chisel:glassdyedpink:0, Розовое стекло
chisel:glassdyedpink:1, Розовое стекло
chisel:glassdyedpink:2, Розовое стекло
chisel:glassdyedpink:3, Розовое стекло
chisel:glassdyedpink:4, Розовое стекло
chisel:glassdyedpink:5, Розовое стекло
chisel:glasspanedyedpink:0, Pink Stained Glass Pane
chisel:glasspanedyedpink:1, Pink Stained Glass Pane
chisel:glasspanedyedpink:2, Pink Stained Glass Pane
chisel:glasspanedyedpink:3, Pink Stained Glass Pane
chisel:glasspanedyedpink:4, Pink Stained Glass Pane
chisel:glasspanedyedpink:5, Pink Stained Glass Pane
chisel:glassdyedlime:0, Лаймовое стекло
chisel:glassdyedlime:1, Лаймовое стекло
chisel:glassdyedlime:2, Лаймовое стекло
chisel:glassdyedlime:3, Лаймовое стекло
chisel:glassdyedlime:4, Лаймовое стекло
chisel:glassdyedlime:5, Лаймовое стекло
chisel:glasspanedyedlime:0, Lime Stained Glass Pane
chisel:glasspanedyedlime:1, Lime Stained Glass Pane
chisel:glasspanedyedlime:2, Lime Stained Glass Pane
chisel:glasspanedyedlime:3, Lime Stained Glass Pane
chisel:glasspanedyedlime:4, Lime Stained Glass Pane
chisel:glasspanedyedlime:5, Lime Stained Glass Pane
chisel:glassdyedyellow:0, Жёлтое стекло
chisel:glassdyedyellow:1, Жёлтое стекло
chisel:glassdyedyellow:2, Жёлтое стекло
chisel:glassdyedyellow:3, Жёлтое стекло
chisel:glassdyedyellow:4, Жёлтое стекло
chisel:glassdyedyellow:5, Жёлтое стекло
chisel:glasspanedyedyellow:0, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:1, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:2, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:3, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:4, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:5, Yellow Stained Glass Pane
chisel:glassdyedlightblue:0, Голубое стекло
chisel:glassdyedlightblue:1, Голубое стекло
chisel:glassdyedlightblue:2, Голубое стекло
chisel:glassdyedlightblue:3, Голубое стекло
chisel:glassdyedlightblue:4, Голубое стекло
chisel:glassdyedlightblue:5, Голубое стекло
chisel:glasspanedyedlightblue:0, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:1, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:2, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:3, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:4, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:5, Light Blue Stained Glass Pane
chisel:glassdyedmagenta:0, Пурпурное стекло
chisel:glassdyedmagenta:1, Пурпурное стекло
chisel:glassdyedmagenta:2, Пурпурное стекло
chisel:glassdyedmagenta:3, Пурпурное стекло
chisel:glassdyedmagenta:4, Пурпурное стекло
chisel:glassdyedmagenta:5, Пурпурное стекло
chisel:glasspanedyedmagenta:0, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:1, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:2, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:3, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:4, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:5, Magenta Stained Glass Pane
chisel:glassdyedorange:0, Оранжевое стекло
chisel:glassdyedorange:1, Оранжевое стекло
chisel:glassdyedorange:2, Оранжевое стекло
chisel:glassdyedorange:3, Оранжевое стекло
chisel:glassdyedorange:4, Оранжевое стекло
chisel:glassdyedorange:5, Оранжевое стекло
chisel:glasspanedyedorange:0, Orange Stained Glass Pane
chisel:glasspanedyedorange:1, Orange Stained Glass Pane
chisel:glasspanedyedorange:2, Orange Stained Glass Pane
chisel:glasspanedyedorange:3, Orange Stained Glass Pane
chisel:glasspanedyedorange:4, Orange Stained Glass Pane
chisel:glasspanedyedorange:5, Orange Stained Glass Pane
chisel:glassdyedwhite:0, Белое стекло
chisel:glassdyedwhite:1, Белое стекло
chisel:glassdyedwhite:2, Белое стекло
chisel:glassdyedwhite:3, Белое стекло
chisel:glassdyedwhite:4, Белое стекло
chisel:glassdyedwhite:5, Белое стекло
chisel:glasspanedyedwhite:0, White Stained Glass Pane
chisel:glasspanedyedwhite:1, White Stained Glass Pane
chisel:glasspanedyedwhite:2, White Stained Glass Pane
chisel:glasspanedyedwhite:3, White Stained Glass Pane
chisel:glasspanedyedwhite:4, White Stained Glass Pane
chisel:glasspanedyedwhite:5, White Stained Glass Pane
chisel:glowstone:0, Светокамень
chisel:glowstone:1, Светокамень
chisel:glowstone:2, Светокамень
chisel:glowstone:3, Светокамень
chisel:glowstone:4, Светокамень
chisel:glowstone:5, Светокамень
chisel:glowstone:6, Светокамень
chisel:glowstone:7, Светокамень
chisel:glowstone:8, Светокамень
chisel:glowstone:9, Светокамень
chisel:glowstone:10, Светокамень
chisel:glowstone:11, Светокамень
chisel:glowstone:12, Светокамень
chisel:glowstone:13, Светокамень
chisel:glowstone:14, Светокамень
chisel:glowstone:15, Светокамень
chisel:glowstone1:0, Светокамень
chisel:glowstone1:1, Светокамень
chisel:glowstone1:2, Светокамень
chisel:glowstone1:3, Светокамень
chisel:glowstone1:4, Светокамень
chisel:glowstone1:5, Светокамень
chisel:glowstone1:6, Светокамень
chisel:glowstone1:7, Светокамень
chisel:glowstone1:8, Светокамень
chisel:glowstone1:9, Светокамень
chisel:glowstone1:10, Светокамень
chisel:glowstone1:11, Светокамень
chisel:glowstone1:12, Светокамень
chisel:glowstone1:13, Светокамень
chisel:glowstone1:14, Светокамень
chisel:glowstone1:15, Светокамень
chisel:glowstone2:0, Светокамень
chisel:blockgold:0, Золотой блок
chisel:blockgold:1, Золотой блок
chisel:blockgold:2, Золотой блок
chisel:blockgold:3, Золотой блок
chisel:blockgold:4, Золотой блок
chisel:blockgold:5, Золотой блок
chisel:blockgold:6, Золотой блок
chisel:gold:0, Золотой блок
chisel:gold:1, Золотой блок
chisel:gold:2, Золотой блок
chisel:gold:3, Золотой блок
chisel:gold:4, Золотой блок
chisel:gold:5, Золотой блок
chisel:gold:6, Золотой блок
chisel:gold:7, Золотой блок
chisel:gold:8, Золотой блок
chisel:gold:9, Золотой блок
chisel:gold:10, Золотой блок
chisel:gold:11, Золотой блок
chisel:gold:12, Золотой блок
chisel:gold:13, Золотой блок
chisel:granite:0, Гранит
chisel:granite:1, Гранит
chisel:granite:2, Гранит
chisel:granite:3, Гранит
chisel:granite:4, Гранит
chisel:granite:5, Гранит
chisel:granite:6, Гранит
chisel:granite:7, Гранит
chisel:granite:8, Гранит
chisel:granite:9, Гранит
chisel:granite:10, Гранит
chisel:granite:11, Гранит
chisel:granite:12, Гранит
chisel:granite:13, Гранит
chisel:granite:14, Гранит
chisel:granite:15, Гранит
chisel:granite1:0, Гранит
chisel:granite1:1, Гранит
chisel:granite1:2, Гранит
chisel:granite1:3, Гранит
chisel:granite1:4, Гранит
chisel:granite1:5, Гранит
chisel:granite1:6, Гранит
chisel:granite1:7, Гранит
chisel:granite1:8, Гранит
chisel:granite1:9, Гранит
chisel:granite1:10, Гранит
chisel:granite1:11, Гранит
chisel:granite1:12, Гранит
chisel:granite1:13, Гранит
chisel:granite1:14, Гранит
chisel:granite1:15, Гранит
chisel:granite2:0, Гранит
chisel:hardenedclay:0, Обожжёная глина
chisel:hardenedclay:1, Обожжёная глина
chisel:hardenedclay:2, Обожжёная глина
chisel:hardenedclay:3, Обожжёная глина
chisel:hardenedclay:4, Обожжёная глина
chisel:hardenedclay:5, Обожжёная глина
chisel:hardenedclay:6, Обожжёная глина
chisel:hardenedclay:7, Обожжёная глина
chisel:hardenedclay:8, Обожжёная глина
chisel:hardenedclay:9, Обожжёная глина
chisel:hardenedclay:10, Обожжёная глина
chisel:hardenedclay:11, Обожжёная глина
chisel:hardenedclay:12, Обожжёная глина
chisel:hardenedclay:13, Обожжёная глина
chisel:hardenedclay:14, Обожжёная глина
chisel:hardenedclay:15, Обожжёная глина
chisel:hardenedclay1:0, Обожжёная глина
chisel:hardenedclay1:1, Обожжёная глина
chisel:hardenedclay1:2, Обожжёная глина
chisel:hardenedclay1:3, Обожжёная глина
chisel:hardenedclay1:4, Обожжёная глина
chisel:hardenedclay1:5, Обожжёная глина
chisel:hardenedclay1:6, Обожжёная глина
chisel:hardenedclay1:7, Обожжёная глина
chisel:hardenedclay1:8, Обожжёная глина
chisel:hardenedclay1:9, Обожжёная глина
chisel:hardenedclay2:0, Обожжёная глина
chisel:hardenedclay2:1, Обожжёная глина
chisel:hardenedclay2:2, Обожжёная глина
chisel:hardenedclay2:3, Обожжёная глина
chisel:hardenedclay2:4, Обожжёная глина
chisel:hardenedclay2:5, Обожжёная глина
chisel:hardenedclay2:6, Обожжёная глина
chisel:ice:0, Ice
chisel:ice:1, Ice
chisel:ice:2, Ice
chisel:ice:3, Ice
chisel:ice:4, Ice
chisel:ice:5, Ice
chisel:ice:6, Ice
chisel:ice:7, Ice
chisel:ice:8, Ice
chisel:ice:9, Ice
chisel:ice:10, Ice
chisel:ice:11, Ice
chisel:ice:12, Ice
chisel:ice:13, Ice
chisel:ice:14, Ice
chisel:ice:15, Ice
chisel:ice1:0, Ice
chisel:ice1:1, Ice
chisel:ice1:2, Ice
chisel:ice1:3, Ice
chisel:ice1:4, Ice
chisel:ice1:5, Ice
chisel:ice1:6, Ice
chisel:ice1:7, Ice
chisel:ice1:8, Ice
chisel:ice1:9, Ice
chisel:ice1:10, Ice
chisel:ice1:11, Ice
chisel:ice1:12, Ice
chisel:ice1:13, Ice
chisel:ice1:14, Ice
chisel:ice1:15, Ice
chisel:ice2:0, Ice
chisel:icepillar:0, Ледяная колонна
chisel:icepillar:1, Ледяная колонна
chisel:icepillar:2, Ледяная колонна
chisel:icepillar:3, Ледяная колонна
chisel:icepillar:4, Ледяная колонна
chisel:icepillar:5, Ледяная колонна
chisel:icepillar:6, Ледяная колонна
chisel:blockinvar:0, Инваровый блок
chisel:blockinvar:1, Инваровый блок
chisel:blockinvar:2, Инваровый блок
chisel:blockinvar:3, Инваровый блок
chisel:blockinvar:4, Инваровый блок
chisel:blockinvar:5, Инваровый блок
chisel:blockinvar:6, Инваровый блок
chisel:blockiron:0, Железный блок
chisel:blockiron:1, Железный блок
chisel:blockiron:2, Железный блок
chisel:blockiron:3, Железный блок
chisel:blockiron:4, Железный блок
chisel:blockiron:5, Железный блок
chisel:blockiron:6, Железный блок
chisel:iron:0, Железный блок
chisel:iron:1, Железный блок
chisel:iron:2, Железный блок
chisel:iron:3, Железный блок
chisel:iron:4, Железный блок
chisel:iron:5, Железный блок
chisel:iron:6, Железный блок
chisel:iron:7, Железный блок
chisel:iron:8, Железный блок
chisel:iron:9, Железный блок
chisel:iron:10, Железный блок
chisel:iron:11, Железный блок
chisel:iron:12, Железный блок
chisel:iron:13, Железный блок
chisel:iron:14, Железный блок
chisel:ironpane:0, Железные прутья (WIP!)
chisel:ironpane:1, Железные прутья (WIP!)
chisel:ironpane:2, Железные прутья (WIP!)
chisel:ironpane:3, Железные прутья (WIP!)
chisel:ironpane:4, Железные прутья (WIP!)
chisel:ironpane:5, Железные прутья (WIP!)
chisel:ironpane:6, Железные прутья (WIP!)
chisel:ironpane:7, Железные прутья (WIP!)
chisel:ironpane:8, Железные прутья (WIP!)
chisel:ironpane:9, Железные прутья (WIP!)
chisel:ironpane:10, Железные прутья (WIP!)
chisel:ironpane:11, Железные прутья (WIP!)
chisel:ironpane:12, Железные прутья (WIP!)
chisel:laboratory:0, Лабораторный блок
chisel:laboratory:1, Лабораторный блок
chisel:laboratory:2, Лабораторный блок
chisel:laboratory:3, Лабораторный блок
chisel:laboratory:4, Лабораторный блок
chisel:laboratory:5, Лабораторный блок
chisel:laboratory:6, Лабораторный блок
chisel:laboratory:7, Лабораторный блок
chisel:laboratory:8, Лабораторный блок
chisel:laboratory:9, Лабораторный блок
chisel:laboratory:10, Лабораторный блок
chisel:laboratory:11, Лабораторный блок
chisel:laboratory:12, Лабораторный блок
chisel:laboratory:13, Лабораторный блок
chisel:laboratory:14, Лабораторный блок
chisel:laboratory:15, Лабораторный блок
chisel:lapis:0, Лазуритный блок
chisel:lapis:1, Лазуритный блок
chisel:lapis:2, Лазуритный блок
chisel:lapis:3, Лазуритный блок
chisel:lapis:4, Лазуритный блок
chisel:lapis:5, Лазуритный блок
chisel:lapis:6, Лазуритный блок
chisel:lapis:7, Лазуритный блок
chisel:lapis:8, Лазуритный блок
chisel:lavastone:0, Лавовый камень
chisel:lavastone:1, Лавовый камень
chisel:lavastone:2, Лавовый камень
chisel:lavastone:3, Лавовый камень
chisel:lavastone:4, Лавовый камень
chisel:lavastone:5, Лавовый камень
chisel:lavastone:6, Лавовый камень
chisel:lavastone:7, Лавовый камень
chisel:lavastone:8, Лавовый камень
chisel:lavastone:9, Лавовый камень
chisel:lavastone:10, Лавовый камень
chisel:lavastone:11, Лавовый камень
chisel:lavastone:12, Лавовый камень
chisel:lavastone:13, Лавовый камень
chisel:lavastone:14, Лавовый камень
chisel:lavastone:15, Лавовый камень
chisel:lavastone1:0, Лавовый камень
chisel:lavastone1:1, Лавовый камень
chisel:lavastone1:2, Лавовый камень
chisel:lavastone1:3, Лавовый камень
chisel:lavastone1:4, Лавовый камень
chisel:lavastone1:5, Лавовый камень
chisel:lavastone1:6, Лавовый камень
chisel:lavastone1:7, Лавовый камень
chisel:lavastone1:8, Лавовый камень
chisel:lavastone1:9, Лавовый камень
chisel:lavastone1:10, Лавовый камень
chisel:lavastone1:11, Лавовый камень
chisel:lavastone1:12, Лавовый камень
chisel:lavastone1:13, Лавовый камень
chisel:lavastone1:14, Лавовый камень
chisel:lavastone1:15, Лавовый камень
chisel:lavastone2:0, Лавовый камень
chisel:blocklead:0, Свинцовый блок
chisel:blocklead:1, Свинцовый блок
chisel:blocklead:2, Свинцовый блок
chisel:blocklead:3, Свинцовый блок
chisel:blocklead:4, Свинцовый блок
chisel:blocklead:5, Свинцовый блок
chisel:blocklead:6, Свинцовый блок
chisel:limestone:0, Известняк
chisel:limestone:1, Известняк
chisel:limestone:2, Известняк
chisel:limestone:3, Известняк
chisel:limestone:4, Известняк
chisel:limestone:5, Известняк
chisel:limestone:6, Известняк
chisel:limestone:7, Известняк
chisel:limestone:8, Известняк
chisel:limestone:9, Известняк
chisel:limestone:10, Известняк
chisel:limestone:11, Известняк
chisel:limestone:12, Известняк
chisel:limestone:13, Известняк
chisel:limestone:14, Известняк
chisel:limestone:15, Известняк
chisel:limestone1:0, Известняк
chisel:limestone1:1, Известняк
chisel:limestone1:2, Известняк
chisel:limestone1:3, Известняк
chisel:limestone1:4, Известняк
chisel:limestone1:5, Известняк
chisel:limestone1:6, Известняк
chisel:limestone1:7, Известняк
chisel:limestone1:8, Известняк
chisel:limestone1:9, Известняк
chisel:limestone2:0, Известняк
chisel:limestone2:1, Известняк
chisel:limestone2:2, Известняк
chisel:limestone2:3, Известняк
chisel:limestone2:4, Известняк
chisel:limestone2:5, Известняк
chisel:limestone2:6, Известняк
chisel:limestone2:7, Известняк
chisel:marble:0, Мрамор
chisel:marble:1, Мрамор
chisel:marble:2, Мрамор
chisel:marble:3, Мрамор
chisel:marble:4, Мрамор
chisel:marble:5, Мрамор
chisel:marble:6, Мрамор
chisel:marble:7, Мрамор
chisel:marble:8, Мрамор
chisel:marble:9, Мрамор
chisel:marble:10, Мрамор
chisel:marble:11, Мрамор
chisel:marble:12, Мрамор
chisel:marble:13, Мрамор
chisel:marble:14, Мрамор
chisel:marble:15, Мрамор
chisel:marble1:0, Мрамор
chisel:marble1:1, Мрамор
chisel:marble1:2, Мрамор
chisel:marble1:3, Мрамор
chisel:marble1:4, Мрамор
chisel:marble1:5, Мрамор
chisel:marble1:6, Мрамор
chisel:marble1:7, Мрамор
chisel:marble1:8, Мрамор
chisel:marble1:9, Мрамор
chisel:marble2:0, Мрамор
chisel:marble2:1, Мрамор
chisel:marble2:2, Мрамор
chisel:marble2:3, Мрамор
chisel:marble2:4, Мрамор
chisel:marble2:5, Мрамор
chisel:marble2:6, Мрамор
chisel:marble2:7, Мрамор
chisel:marblepillar:0, Мраморная колонна
chisel:marblepillar:1, Мраморная колонна
chisel:marblepillar:2, Мраморная колонна
chisel:marblepillar:3, Мраморная колонна
chisel:marblepillar:4, Мраморная колонна
chisel:marblepillar:5, Мраморная колонна
chisel:marblepillar:6, Мраморная колонна
chisel:marblepillar:7, Мраморная колонна
chisel:marblepillar:8, Мраморная колонна
chisel:marblepillar:9, Мраморная колонна
chisel:marblepillar:10, Мраморная колонна
chisel:marblepillar:11, Мраморная колонна
chisel:marblepillar:12, Мраморная колонна
chisel:marblepillar:13, Мраморная колонна
chisel:marblepillar:14, Мраморная колонна
chisel:marblepillar:15, Мраморная колонна
chisel:netherbrick:0, Незеритовый кирпич
chisel:netherbrick:1, Незеритовый кирпич
chisel:netherbrick:2, Незеритовый кирпич
chisel:netherbrick:3, Незеритовый кирпич
chisel:netherbrick:4, Незеритовый кирпич
chisel:netherbrick:5, Незеритовый кирпич
chisel:netherbrick:6, Незеритовый кирпич
chisel:netherbrick:7, Незеритовый кирпич
chisel:netherbrick:8, Незеритовый кирпич
chisel:netherbrick:9, Незеритовый кирпич
chisel:netherbrick:10, Незеритовый кирпич
chisel:netherbrick:11, Незеритовый кирпич
chisel:netherbrick:12, Незеритовый кирпич
chisel:netherbrick:13, Незеритовый кирпич
chisel:netherbrick:14, Незеритовый кирпич
chisel:netherbrick:15, Незеритовый кирпич
chisel:netherrack:0, Незерит
chisel:netherrack:1, Незерит
chisel:netherrack:2, Незерит
chisel:netherrack:3, Незерит
chisel:netherrack:4, Незерит
chisel:netherrack:5, Незерит
chisel:netherrack:6, Незерит
chisel:netherrack:7, Незерит
chisel:netherrack:8, Незерит
chisel:netherrack:9, Незерит
chisel:netherrack:10, Незерит
chisel:netherrack:11, Незерит
chisel:netherrack:12, Незерит
chisel:netherrack:13, Незерит
chisel:blocknickel:0, Никелевый блок
chisel:blocknickel:1, Никелевый блок
chisel:blocknickel:2, Никелевый блок
chisel:blocknickel:3, Никелевый блок
chisel:blocknickel:4, Никелевый блок
chisel:blocknickel:5, Никелевый блок
chisel:blocknickel:6, Никелевый блок
chisel:obsidian:0, Обсидиан
chisel:obsidian:1, Обсидиан
chisel:obsidian:2, Обсидиан
chisel:obsidian:3, Обсидиан
chisel:obsidian:4, Обсидиан
chisel:obsidian:5, Обсидиан
chisel:obsidian:6, Обсидиан
chisel:obsidian:7, Обсидиан
chisel:obsidian:8, Обсидиан
chisel:obsidian:9, Обсидиан
chisel:obsidian:10, Обсидиан
chisel:obsidian:11, Обсидиан
chisel:obsidian:12, Обсидиан
chisel:obsidian:13, Обсидиан
chisel:obsidian:14, Обсидиан
chisel:paper:0, Бумажная стена
chisel:paper:1, Бумажная стена
chisel:paper:2, Бумажная стена
chisel:paper:3, Бумажная стена
chisel:paper:4, Бумажная стена
chisel:paper:5, Бумажная стена
chisel:paper:6, Бумажная стена
chisel:paper:7, Бумажная стена
chisel:paper:8, Бумажная стена
chisel:planks-oak:0, Дубовые доски
chisel:planks-oak:1, Дубовые доски
chisel:planks-oak:2, Дубовые доски
chisel:planks-oak:3, Дубовые доски
chisel:planks-oak:4, Дубовые доски
chisel:planks-oak:5, Дубовые доски
chisel:planks-oak:6, Дубовые доски
chisel:planks-oak:7, Дубовые доски
chisel:planks-oak:8, Дубовые доски
chisel:planks-oak:9, Дубовые доски
chisel:planks-oak:10, Дубовые доски
chisel:planks-oak:11, Дубовые доски
chisel:planks-oak:12, Дубовые доски
chisel:planks-oak:13, Дубовые доски
chisel:planks-oak:14, Дубовые доски
chisel:planks-spruce:0, Еловые доски
chisel:planks-spruce:1, Еловые доски
chisel:planks-spruce:2, Еловые доски
chisel:planks-spruce:3, Еловые доски
chisel:planks-spruce:4, Еловые доски
chisel:planks-spruce:5, Еловые доски
chisel:planks-spruce:6, Еловые доски
chisel:planks-spruce:7, Еловые доски
chisel:planks-spruce:8, Еловые доски
chisel:planks-spruce:9, Еловые доски
chisel:planks-spruce:10, Еловые доски
chisel:planks-spruce:11, Еловые доски
chisel:planks-spruce:12, Еловые доски
chisel:planks-spruce:13, Еловые доски
chisel:planks-spruce:14, Еловые доски
chisel:planks-birch:0, Берёзовые доски
chisel:planks-birch:1, Берёзовые доски
chisel:planks-birch:2, Берёзовые доски
chisel:planks-birch:3, Берёзовые доски
chisel:planks-birch:4, Берёзовые доски
chisel:planks-birch:5, Берёзовые доски
chisel:planks-birch:6, Берёзовые доски
chisel:planks-birch:7, Берёзовые доски
chisel:planks-birch:8, Берёзовые доски
chisel:planks-birch:9, Берёзовые доски
chisel:planks-birch:10, Берёзовые доски
chisel:planks-birch:11, Берёзовые доски
chisel:planks-birch:12, Берёзовые доски
chisel:planks-birch:13, Берёзовые доски
chisel:planks-birch:14, Берёзовые доски
chisel:planks-jungle:0, Доски из тропического дерева
chisel:planks-jungle:1, Доски из тропического дерева
chisel:planks-jungle:2, Доски из тропического дерева
chisel:planks-jungle:3, Доски из тропического дерева
chisel:planks-jungle:4, Доски из тропического дерева
chisel:planks-jungle:5, Доски из тропического дерева
chisel:planks-jungle:6, Доски из тропического дерева
chisel:planks-jungle:7, Доски из тропического дерева
chisel:planks-jungle:8, Доски из тропического дерева
chisel:planks-jungle:9, Доски из тропического дерева
chisel:planks-jungle:10, Доски из тропического дерева
chisel:planks-jungle:11, Доски из тропического дерева
chisel:planks-jungle:12, Доски из тропического дерева
chisel:planks-jungle:13, Доски из тропического дерева
chisel:planks-jungle:14, Доски из тропического дерева
chisel:planks-acacia:0, Доски из акации
chisel:planks-acacia:1, Доски из акации
chisel:planks-acacia:2, Доски из акации
chisel:planks-acacia:3, Доски из акации
chisel:planks-acacia:4, Доски из акации
chisel:planks-acacia:5, Доски из акации
chisel:planks-acacia:6, Доски из акации
chisel:planks-acacia:7, Доски из акации
chisel:planks-acacia:8, Доски из акации
chisel:planks-acacia:9, Доски из акации
chisel:planks-acacia:10, Доски из акации
chisel:planks-acacia:11, Доски из акации
chisel:planks-acacia:12, Доски из акации
chisel:planks-acacia:13, Доски из акации
chisel:planks-acacia:14, Доски из акации
chisel:planks-dark-oak:0, Доски из тёмного дуба
chisel:planks-dark-oak:1, Доски из тёмного дуба
chisel:planks-dark-oak:2, Доски из тёмного дуба
chisel:planks-dark-oak:3, Доски из тёмного дуба
chisel:planks-dark-oak:4, Доски из тёмного дуба
chisel:planks-dark-oak:5, Доски из тёмного дуба
chisel:planks-dark-oak:6, Доски из тёмного дуба
chisel:planks-dark-oak:7, Доски из тёмного дуба
chisel:planks-dark-oak:8, Доски из тёмного дуба
chisel:planks-dark-oak:9, Доски из тёмного дуба
chisel:planks-dark-oak:10, Доски из тёмного дуба
chisel:planks-dark-oak:11, Доски из тёмного дуба
chisel:planks-dark-oak:12, Доски из тёмного дуба
chisel:planks-dark-oak:13, Доски из тёмного дуба
chisel:planks-dark-oak:14, Доски из тёмного дуба
chisel:blockplatinum:0, Платиновый блок
chisel:blockplatinum:1, Платиновый блок
chisel:blockplatinum:2, Платиновый блок
chisel:blockplatinum:3, Платиновый блок
chisel:blockplatinum:4, Платиновый блок
chisel:blockplatinum:5, Платиновый блок
chisel:blockplatinum:6, Платиновый блок
chisel:prismarine:0, Призмарин
chisel:prismarine:1, Призмарин
chisel:prismarine:2, Призмарин
chisel:prismarine:3, Призмарин
chisel:prismarine:4, Призмарин
chisel:prismarine:5, Призмарин
chisel:prismarine:6, Призмарин
chisel:prismarine:7, Призмарин
chisel:prismarine:8, Призмарин
chisel:prismarine:9, Призмарин
chisel:prismarine:10, Призмарин
chisel:prismarine:11, Призмарин
chisel:prismarine:12, Призмарин
chisel:prismarine:13, Призмарин
chisel:prismarine:14, Призмарин
chisel:prismarine:15, Призмарин
chisel:prismarine1:0, Призмарин
chisel:prismarine1:1, Призмарин
chisel:prismarine1:2, Призмарин
chisel:prismarine1:3, Призмарин
chisel:prismarine1:4, Призмарин
chisel:prismarine1:5, Призмарин
chisel:prismarine1:6, Призмарин
chisel:prismarine1:7, Призмарин
chisel:prismarine1:8, Призмарин
chisel:prismarine1:9, Призмарин
chisel:prismarine2:0, Призмарин
chisel:prismarine2:1, Призмарин
chisel:prismarine2:2, Призмарин
chisel:prismarine2:3, Призмарин
chisel:prismarine2:4, Призмарин
chisel:prismarine2:5, Призмарин
chisel:quartz:0, Кварцевый блок
chisel:quartz:1, Кварцевый блок
chisel:quartz:2, Кварцевый блок
chisel:quartz:3, Кварцевый блок
chisel:quartz:4, Кварцевый блок
chisel:quartz:5, Кварцевый блок
chisel:quartz:6, Кварцевый блок
chisel:quartz:7, Кварцевый блок
chisel:quartz:8, Кварцевый блок
chisel:quartz:9, Кварцевый блок
chisel:quartz:10, Кварцевый блок
chisel:quartz:11, Кварцевый блок
chisel:quartz:12, Кварцевый блок
chisel:quartz:13, Кварцевый блок
chisel:quartz:14, Кварцевый блок
chisel:quartz:15, Кварцевый блок
chisel:quartz1:0, Кварцевый блок
chisel:quartz1:1, Кварцевый блок
chisel:quartz1:2, Кварцевый блок
chisel:quartz1:3, Кварцевый блок
chisel:quartz1:4, Кварцевый блок
chisel:quartz1:5, Кварцевый блок
chisel:quartz1:6, Кварцевый блок
chisel:quartz1:7, Кварцевый блок
chisel:quartz1:8, Кварцевый блок
chisel:quartz1:9, Кварцевый блок
chisel:quartz1:10, Кварцевый блок
chisel:quartz1:11, Кварцевый блок
chisel:quartz1:12, Кварцевый блок
chisel:quartz1:13, Кварцевый блок
chisel:quartz1:14, Кварцевый блок
chisel:quartz1:15, Кварцевый блок
chisel:redstone:0, Редстоуновый блок
chisel:redstone:1, Редстоуновый блок
chisel:redstone:2, Редстоуновый блок
chisel:redstone:3, Редстоуновый блок
chisel:redstone:4, Редстоуновый блок
chisel:redstone:5, Редстоуновый блок
chisel:redstone:6, Редстоуновый блок
chisel:redstone:7, Редстоуновый блок
chisel:redstone:8, Редстоуновый блок
